nombre_regla;descripcion_regla;objetivo_regla;propietario_de_la_regla;equipo_de_monitoreo;Base;Nombre del Esquema;Nombre de la tabla;Tipo de Tabla;Nombre de la Columna;Tipo de dato;constraint_type;owner Tecnico;Owner de Negocio;completitud;unicidad;exactitud;validez;integridad
completitud_valor_reserva_directa_iaxis;VALOR_RESERVA_CONTABLE no debe ser nulo en ningún registro del periodo para las cuentas del alcance.;Detectar cuentas contables con información faltante antes del cierre mensual (semáforo ALERTA si hay nulos).;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;DIRECTA_RESERVA_INTERFAZ;TABLE;VALOR_RESERVA_CONTABLE;;;;;"IS NOT NULL para cada cuenta + libro + periodo; sin_valor > 0 genera semáforo ALERTA";;;;
validez_cuentas_directa_iaxis;El control de negocio directo aplica solo a las cuentas de prima directa.;Delimitar el alcance del control a las cuentas contables definidas.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;DIRECTA_RESERVA_INTERFAZ;TABLE;CUENTA;;;;;;;;IN ('410305','410310','410315','510305','510310','510315');
exclusion_libro_ag_directa_iaxis;Se excluye el libro AG, que se controla aparte con su propio proceso (cubre la exclusión de IVA AG).;Evitar duplicar controles que ya existen para el libro AG.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;DIRECTA_RESERVA_INTERFAZ;TABLE;Libro;;;;;;;;Libro <> 'AG';
completitud_valor_reserva_cedidas_as400;VALOR_RESERVA_CONTABLE no debe ser nulo en ningún registro del periodo para las cuentas del alcance.;Detectar cuentas contables con información faltante antes del cierre mensual (semáforo ALERTA si hay nulos).;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ;TABLE;VALOR_RESERVA_CONTABLE;;;;;"IS NOT NULL para cada cuenta + libro + periodo; sin_valor > 0 genera semáforo ALERTA";;;;
validez_cuentas_cedidas_as400;El control de negocio cedido (AS400) aplica solo a las cuentas definidas.;Delimitar el alcance del control a las cuentas contables definidas.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ;TABLE;CUENTA;;;;;;;;IN ('510305','410305');
exclusion_libro_ag_cedidas_as400;Se excluye el libro AG, que se controla aparte con su propio proceso.;Evitar duplicar controles que ya existen para el libro AG.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ;TABLE;LIBRO;;;;;;;;LIBRO <> 'AG';
completitud_ramo_cedidas_as400;Solo entran al control los registros con ramo de producto informado.;Excluir registros sin ramo, que no se pueden atribuir a un producto.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ;TABLE;RAMO_PROD;;;;;RAMO_PROD IS NOT NULL (condición de entrada al control);;;;
completitud_valor_reserva_cedidas_iaxis;VALOR_RESERVA_CONTABLE no debe ser nulo en ningún registro del periodo para las cuentas del alcance.;Detectar cuentas contables con información faltante antes del cierre mensual (semáforo ALERTA si hay nulos).;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ_IAXIS;TABLE;VALOR_RESERVA_CONTABLE;;;;;"IS NOT NULL para cada cuenta + libro + periodo; sin_valor > 0 genera semáforo ALERTA";;;;
validez_cuentas_cedidas_iaxis;El control de negocio cedido (IAXIS) aplica solo a las cuentas definidas.;Delimitar el alcance del control a las cuentas contables definidas.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ_IAXIS;TABLE;CUENTA;;;;;;;;IN ('510305','410305');
exclusion_libro_ag_cedidas_iaxis;Se excluye el libro AG, que se controla aparte con su propio proceso.;Evitar duplicar controles que ya existen para el libro AG.;;Gobierno de Datos;Liberty (DWH SQL Server);RESERVAS;CEDIDAS_RESERVA_INTERFAZ_IAXIS;TABLE;LIBRO;;;;;;;;LIBRO <> 'AG';
